Publication Year,Author,doi,Title,Method,Level,Application,Country,Journal,Manual Tags,Note 1,Note 2,Review notes,year,month,day,journal,issn,volume,issue,pages,abstract,doi.1,keywords
2024,"Mammas, C. S.; Mamma, A. S.",10.3233/SHTI240782,"Remote Monitoring, AI, Machine Learning and Mobile Ultrasound Integration upon 5G Internet in the Prehospital Care to Support the Golden Hour Principle and Optimize Outcomes in Severe Trauma and Emergency Surgery",5. Ensemble / Proprietary,E. Onward prognosis,,Greece,Ieee Transactions on Industrial Informatics,delays; prehospital emergency care; transportation; medical services; decision support system; differential privacy (dp); emergency medical services (ems); hafnium; k-anonymity; machine learning (ml); perturbation methods; privacy; privacy-preserving data mining; time factors,,, ,2024,8.0,22.0,Stud Health Technol Inform,1879-8365 (Electronic)     0926-9630 (Linking),316.0,,1807-1811,"AIM: Feasibility and reliability evaluation of 5G internet networks (5G IN) upon Artificial Intelligence (AI)/Machine Learning (ML), of telemonitoring and mobile ultrasound (m u/s) in an ambulance car (AC)- integrated in the pre-hospital setting (PS)- to support the Golden Hour Principle (GHP) and optimize outcomes in severe trauma (TRS). MATERIAL AND METHODS: (PS) organization and care upon (5G IN) high bandwidths (10 GB/s) mobile tele-communication (mTC) experimentation by using the experimental Cobot PROMETHEUS III, pn:100016 by simulation upon six severe trauma clinical cases by ten (N1=10) experts: Four professional rescuers (n1=4), three trauma surgeons (n2=3), a radiologist (n3=1) and two information technology specialists (n4=2) to evaluate feasibility, reliability and clinical usability for instant risk, prognosis and triage computation, decision support and treatment planning by (AI)/(ML) computations in (PS) of (TRS) as well as by performing (PS) (m u/s). RESULTS: A. Trauma severity scales instant computations by the Cobot PROMETHEUS III, pn 100016) ) based on AI and ML complex algorithms and Cloud Computing, telemonitoring and r showed very high feasibility and reliability upon (5GIN) under specific, technological, training and ergonomic prerequisites B. Measured be-directional (m u/s) images data sharing between (AC) and (ED/TC) showed very high feasibility and reliability upon (5G IN) under specific, technological and ergonomic conditions in (TRS). CONCLUSION: Integration of (PS) tele-monitoring with (AI)/(ML) and (PS) (m u/s) upon (5GIN) via the Cobot PROMETHEUS III, (pn 100016) in severe (TRS/ES), seems feasible and under specific prerequisites reliable to support the (GHP) and optimize outcomes in adult and pediatric (TRS/ES).",10.3233/SHTI240782,Humans;*Machine Learning;*Ultrasonography;*Emergency Medical Services;*Wounds and Injuries/diagnostic imaging/therapy;Telemedicine;Artificial Intelligence;Internet;Feasibility Studies;Reproducibility of Results;5G Internet Networks;Artificial Intelligence/Machine Learning in Health Care;Golden Hour;Prehospital Mobile Ultrasound;Prehospital Trauma Organization and Care
2023,"Manguri, Kamaran H.; Mohammed, Aree Ali","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Charlotte""=>""Maybe""} | RAYYAN-LABELS: 2. Deep Learning,D. On Scene level | USER-NOTES: {""Charlotte""=>[""proposed methods, no results""], ""Jamie""=>[""Transport decision"", ""Iraq""]}",Emergency vehicles classification for traffic signal system using optimized transfer DenseNet201 model,2. Deep Learning,D. On Scene Zone,,Iraq,Front Neurol,electrocardiogram; machine learning; neurological outcomes; out-of-hospital cardiac arrest; outcome prediction; resuscitation,"proposed methods, no results",,,2023,,,Indonesian Journal of Electrical Engineering and Computer Science,2502-4760     2502-4752,32.0,2.0,1058-1069,"As a result of the rapid growth of the world population, traffic signaling systems for monitoring and controlling the roads have turned to be an important issue facing humanity. To effectively overcome this problem, an accurate method for congestion reduction on the roads should be used which has a direct relation between the population and the cars’ usage. Various approaches derived from deep and transfer learning have been investigated in this context. This research implemented an optimized transfer learning approach for densely connected convolutional neural network (DenseNet201) models for multiple classifications (non-emergency cars, ambulance, police, and firefighter). Due to the non-availability of public datasets, a customized dataset has been created. This paper aims to improve the performance accuracy of vehicle classification using certain preprocessing algorithms on the input images and testing various optimization methods. The performance accuracy of the proposed model is evaluated using k-folds cross-validation 20:80 for the test and training, respectively. The metrics which are used for comparison with other deep learning techniques are based on exactness, recall, accuracy and F1-score. Test outcomes specify that the proposed transfer model-based optimization outperforms alternative deep learning algorithms regarding vehicle accuracy in classifying and reaches 98.6%. © 2023 Institute of Advanced Engineering and Science. All rights reserved.","RAYYAN-INCLUSION: {""Jamie""=>""Included"", ""Charlotte""=>""Maybe""} | RAYYAN-LABELS: 2. Deep Learning,D. On Scene level | USER-NOTES: {""Charlotte""=>[""proposed methods, no results""], ""Jamie""=>[""Transport decision"", ""Iraq""]}",10.11591/ijeecs.v32.i2.pp1058-1069
2020,"Mapuwei, T. W.; Bodhlyera, O.; Mwambi, H.",Artn 2408698     10.1155/2020/2408698,Univariate Time Series Analysis of Short-Term Forecasting Horizons Using Artificial Neural Networks: The Case of Public Ambulance Emergency Preparedness,2. Deep Learning,A. System level,,South Africa,Prehosp Emerg Care,*Drug Overdose/epidemiology/drug therapy; *Emergency Medical Services; *Opiate Overdose; Analgesics; Computers; emergency medical services; Endothelial Protein C Receptor; Humans; medical dispatch record; Naloxone/therapeutic use; Narcotic Antagonists/therapeutic use; non-fatal opioid overdose; Opioid/therapeutic use; Retrospective Studies; sensitivity; surveillance; United States,Demand forecasting,,,2020,5.0,1.0,Journal of Applied Mathematics,1110-757x,2020.0,,,"This study examined the applicability of artificial neural network models in modelling univariate time series ambulance demand for short-term forecasting horizons in Zimbabwe. Bulawayo City Councils' ambulance services department was used as a case study. Two models, feed-forward neural network (FFNN) and seasonal autoregressive integrated moving average, (SARIMA) were developed using monthly historical data from 2010 to 2017 and compared against observed data for 2018. The mean absolute error (MAE), root mean square error (RMSE), and paired sample t-test were used as performance measures. Calculated performance measures for FFNN were MAE (94.0), RMSE (137.19), and the test statistic value p=0.493(>0.05) whilst corresponding values for SARIMA were 105.71, 125.28, and p=0.005(<0.05), respectively. Findings of this study suggest that the FFNN model is inclined to value estimation whilst the SARIMA model is directional with a linear pattern over time. Based on the performance measures, the parsimonious FFNN model was selected to predict short-term annual ambulance demand. Demand forecasts with FFNN for 2019 reflected the expected general trends in Bulawayo. The forecasts indicate high demand during the months of January, March, September, and December. Key ambulance logistic activities such as vehicle servicing, replenishment of essential equipment and drugs, staff training, leave days scheduling, and mock drills need to be planned for April, June, and July when low demand is anticipated. This deliberate planning strategy would avoid a dire situation whereby ambulances are available but without adequate staff, essential drugs, and equipment to respond to public emergency calls.",Artn 2408698     10.1155/2020/2408698,Ambulances;Forecasting;Mean square error;Personnel training;Statistical tests;Time series analysis;Emergency preparedness;Essential equipments;Feed forward neural net works;Mean absolute error;Neural network model;Performance measure;Root mean square errors;Seasonal autoregressive integrated moving averages;Short-term forecasting;Univariate time series;Feedforward neural networks
2021,"Martin, R. J.; Mousavi, R.; Saydam, C.",ARTN 100285     10.1016/j.orhc.2021.100285,Predicting emergency medical service call demand: A modern spatiotemporal machine learning approach,1. Classical Machine Learning,A. System level,,USA,,Computer Science - Artificial Intelligence; Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing,Predict demand,,,2021,3.0,,Operations Research for Health Care,2211-6923,28.0,,,"The primary goal of emergency medical service (EMS) agencies is to effectively allocate the ambulances and personnel required to provide sufficient geographic coverage of a service area while minimizing response times to high-priority call requests. Given that the demand for ambulances is known to fluctuate spatially and temporally based on the time of day and day of the week, EMS practitioners depend on call volume forecasts to develop staffing and dynamic redeployment plans. In this study, a series of daily, hourly, and spatially distributed hourly call volume predictions are generated using a multi-layer perceptron (MLP) artificial neural network model following feature selection using an ensemble-based decision tree model. For spatially distributed predictions, K-Means clustering is applied to produce heterogeneous spatial clusters based on call location and associated call volume densities. The predictive performance of the MLP model is benchmarked against both a selection of traditional time-series forecasting techniques and a common industry method. Results show that MLP models outperform time-series and industry forecasting methods, specifically at finer levels of spatial granularity where the need for more accurate call volumes forecasts is more essential. (C) 2021 Elsevier Ltd. All rights reserved.",ARTN 100285     10.1016/j.orhc.2021.100285,emergency medical services;forecasting;machine learning;deep learning;spatial clustering
2023,"Mathiane, M. J.; Tu, C. L.; Adewale, P.; Nawej, M.",10.3390/vehicles5040099,A Vehicle Density Estimation Traffic Light Control System Using a Two-Dimensional Convolution Neural Network,2. Deep Learning,C. Response Zone,,South Africa,Prehosp Emerg Care,machine learning; 4. Natural Language processing; patient phenotype; prehospital; Subject terms: Emergency medical services,Green corridor,,,2023,12.0,,Vehicles,26248921 (ISSN),5.0,4.0,1844-1862,"One of the world's challenges is the amount of traffic on the roads. Waiting for the green light is a major cause of traffic congestion. Low throughput rates and eventual congestion come from many traffic signals that are hard coded, irrespective of the volume of the amount of traffic. Instead of depending on predefined time intervals, it is essential to build a traffic signal control system that can react to changing vehicle densities. Emergency vehicles, like ambulances, must be given priority at the intersection so as not to spend more time at the traffic light. Computer vision techniques can be used to improve road traffic signal control and reduce real-time traffic delays at intersections without the requirement for substantial infrastructure analysis. Long wait times and significant energy consumption are just two of the problems of the current traffic signal control system. To optimal efficiency, the traffic signal's duration must be dynamically changed to account for current traffic volume. To lessen congestion, the approach taken in this research focuses on modifying traffic signal time determined by the density of vehicles at the crossroads. The main purpose of this article is to demonstrate heavy traffic and emergency vehicle prioritization from all directions at the traffic intersection for a speedy passage. Using the Pygame tool, the proposed method in this study, which includes a mechanism for estimating traffic density and prioritization by counting vehicles at a traffic junction, is demonstrated. The vehicle throughput for the adaptive traffic light built using Pygame is compared with the vehicle pass rate for the adaptive traffic light built using Simulation of Urban Mobility (SUMO). The simulation results show that the adaptive traffic light built using Pygame achieves 90% throughput compared to the adaptive traffic light built using SUMO. A Two-Dimensional Convolutional Neural Network (2D-CNN) is implemented using Tensorflow for vehicle classification. The 2D-CNN model demonstrated 96% accuracy in classifying vehicles using the test dataset. Additionally, emergency vehicles, such as ambulances, are given priority for quick passing.",10.3390/vehicles5040099,intelligent traffic system;lane priority;object detection;artificial intelligence;pygame;sumo;2d-cnn;smart traffic management system
2021,"Mayampurath, A.; Parnianpour, Z.; Richards, C. T.; Meurer, W. J.; Lee, J.; Ankenman, B.; Perry, O.; Mendelson, S. J.; Holl, J. L.; Prabhakaran, S.",10.1161/STROKEAHA.120.033580,Improving Prehospital Stroke Diagnosis Using Natural Language Processing of Paramedic Reports,4. Natural Language,D. On Scene Zone,,USA,Simulation Modelling Practice and Theory,location; agent-based simulation; discrete-event simulation; german ems system; hybrid simulation; improve; online optimization; performance; rescue chain,,,,2021,8.0,,Stroke,1524-4628 (Electronic)     0039-2499 (Print)     0039-2499 (Linking),52.0,8.0,2676-2679,"BACKGROUND AND PURPOSE: Accurate prehospital diagnosis of stroke by emergency medical services (EMS) can increase treatments rates, mitigate disability, and reduce stroke deaths. We aimed to develop a model that utilizes natural language processing of EMS reports and machine learning to improve prehospital stroke identification. METHODS: We conducted a retrospective study of patients transported by the Chicago EMS to 17 regional primary and comprehensive stroke centers. Patients who were suspected of stroke by the EMS or had hospital-diagnosed stroke were included in our cohort. Text within EMS reports were converted to unigram features, which were given as input to a support-vector machine classifier that was trained on 70% of the cohort and tested on the remaining 30%. Outcomes included final diagnosis of stroke versus nonstroke, large vessel occlusion, severe stroke (National Institutes of Health Stroke Scale score >5), and comprehensive stroke center-eligible stroke (large vessel occlusion or hemorrhagic stroke). RESULTS: Of 965 patients, 580 (60%) had confirmed acute stroke. In a test set of 289 patients, the text-based model predicted stroke nominally better than models based on the Cincinnati Prehospital Stroke Scale (c-statistic: 0.73 versus 0.67, P=0.165) and was superior to the 3-Item Stroke Scale (c-statistic: 0.73 versus 0.53, P<0.001) scores. Improvements in discrimination were also observed for the other outcomes. CONCLUSIONS: We derived a model that utilizes clinical text from paramedic reports to identify stroke. Our results require validation but have the potential of improving prehospital routing protocols.",10.1161/STROKEAHA.120.033580,"Aged;Aged, 80 and over;Allied Health Personnel/*standards;Chicago/epidemiology;Emergency Medical Services/methods/*standards;Female;Humans;Male;Middle Aged;*Natural Language Processing;Research Report/*standards;Retrospective Studies;Stroke/*diagnosis/epidemiology;diagnosis;machine learning;natural language processing;patient"
2015,"McCormack, R.; Coates, G.",10.1016/j.ejor.2015.05.040,A simulation model to enable the optimization of ambulance fleet allocation and base station location for increased patient survival,3. Evolutionary,B. Dispatch Zone,,UK,Resusc Plus,Machine learning; Ohca; Prediction model; Ecpr; Refractory VF,GA heuristic & simulation not ML / AI,,,2015,11.0,16.0,European Journal of Operational Research,0377-2217,247.0,1.0,294-309,"An effective emergency medical service (EMS) is a critical part of any health care system. This paper presents the optimization of EMS vehicle fleet allocation and base station location through the use of a genetic algorithm (GA) with an integrated EMS simulation model. Two tiers to the EMS model realized the different demands on two vehicle classes; ambulances and rapid response cars. Multiple patient classes were modelled and survival functions used to differentiate the required levels of service. The objective was maximization of the overall expected survival probability across patient classes. Applications of the model were undertaken using real call data from the London Ambulance Service. The simulation model was shown to effectively emulate real-life performance. Optimization of the existing resource plan resulted in significant improvements in survival probability. Optimizing a selection of 1 hour periods in the plan, without introducing additional resources, resulted in a notable increase in the number of cardiac arrest patients surviving per year. The introduction of an additional base station further improved survival when its location and resourcing were optimized for key periods of service. Also, the removal of a base station from the system was found to have minimal impact on survival probability when the selected station and resourcing were optimized simultaneously. (C) 2015 Elsevier B.V. and Association of European Operational Research Societies (EURO) within the International Federation of Operational Research Societies (IFORS). All rights reserved.",10.1016/j.ejor.2015.05.040,simulation;optimization;emergency medical service;genetic algorithms;expected coverage;facility location;emergency;relocation;performance;hypercube;system;set
2024,"Megouo, T. G. P.; Pierre, S.",10.1109/Access.2024.3445591,A Stacking Ensemble Machine Learning Model for Emergency Call Forecasting,2. Deep Learning,A. System level,,USA,Eastern-European Journal of Enterprise Technologies,ambulance vehicle routing; Harris Hawks optimization method; smart city,Demand forecasting,,,2024,,,Ieee Access,2169-3536,12.0,,115820-115837,"One of the greatest challenges of Emergency medical services providers is to handle the large number of Emergency Medical Service (EMS) calls coming from the population. An accurate forecast of EMS calls is involved in ambulance fleet dispatching and routing to minimize response times to emergency calls and enhance the efficacy of assistance. Yet, the demand for emergency services exhibits significant variability, posing a challenge in accurately predicting the future occurrence of emergency calls and their spatial-temporal distribution. Here, we propose a stacking ensemble machine learning model to forecast EMS calls, combining different base learners to enhance the overall performance of generalization. Additionally, we conducted experiments using Boruta, Lasso, RFFI and SHAP feature selection methods to identify the most informative attributes from the EMS dataset. The proposed ensemble model integrates a base layer and a meta layer. In the base layer, we applied four base learners: Decision Tree, Gradient Boosting Regression Tree, Light Gradient Boosting Machine and Random Forest. In the meta layer, we used an optimized Random Forest model to integrate the outputs of base learners. We evaluate the performance of our proposed model using the R2 -score and four different error metrics. Based on a real data set including spatial, temporal and weather features, the findings of this study demonstrated that the proposed stacking-based ensemble model showed a better score and the minimum errors compared to the traditional single algorithms, online machine learning methods and voting ensemble methods. We achieved a higher score of 0.9954, mse of 0.8938, rmse of 0.9454, mae of 0.2923 and mape of 0.0724 compared to state-of-the-art models. This work is an aid for emergency managers in making well-informed decisions, improving outcomes for ambulance dispatch and routing, and enhancing ambulance response time.",10.1109/Access.2024.3445591,medical services;predictive models;data models;meteorology;accuracy;stacking;time series analysis;ambulance demand forecasting;artificial intelligence;ems call forecasting;ensemble machine learning;feature selection;offline/online machine learning;demand;predictions
2022,"Miles, J.; Jacques, R.; Campbell, R.; Turner, J.; Mason, S.",10.1371/journal.pone.0276515,The Safety INdEx of Prehospital On Scene Triage (SINEPOST) study: The development and validation of a risk prediction model to support ambulance clinical transport decisions on-scene,1. Classical Machine Learning,D. On Scene Zone,,UK,Flexible Services and Manufacturing Journal,ambulance location; batch arrival; convolution; demand modeling; emergency medical service system; ems; mixture model; relocation; spatio-temporal variability; vehicles,Predict transport,,,2022,,,PLoS One,1932-6203 (Electronic)     1932-6203 (Linking),17.0,11.0,e0276515,"One of the main problems currently facing the delivery of safe and effective emergency care is excess demand, which causes congestion at different time points in a patient's journey. The modern case-mix of prehospital patients is broad and complex, diverging from the traditional 'time critical accident and emergency' patients. It now includes many low-acuity patients and those with social care and mental health needs. In the ambulance service, transport decisions are the hardest to make and paramedics decide to take more patients to the ED than would have a clinical benefit. As such, this study asked the following research questions: In adult patients attending the ED by ambulance, can prehospital information predict an avoidable attendance? What is the simulated transportability of the model derived from the primary outcome? A linked dataset of 101,522 ambulance service and ED ambulance incidents linked to their respective ED care record from the whole of Yorkshire between 1st July 2019 and 29th February 2020 was used as the sample for this study. A machine learning method known as XGBoost was applied to the data in a novel way called Internal-External Cross Validation (IECV) to build the model. The results showed great discrimination with a C-statistic of 0.81 (95%CI 0.79-0.83) and excellent calibration with an O:E ratio was 0.995 (95% CI 0.97-1.03), with the most important variables being a patient's mobility, their physiological observations and clinical impression with psychiatric problems, allergic reactions, cardiac chest pain, head injury, non-traumatic back pain, and minor cuts and bruising being the most important. This study has successfully developed a decision-support model that can be transformed into a tool that could help paramedics make better transport decisions on scene, known as the SINEPOST model. It is accurate, and spatially validated across multiple geographies including rural, urban, and coastal. It is a fair algorithm that does not discriminate new patients based on their age, gender, ethnicity, or decile of deprivation. It can be embedded into an electronic Patient Care Record system and automatically calculate the probability that a patient will have an avoidable attendance at the ED, if they were transported. This manuscript complies with the Transparent Reporting of a multivariable prediction model for Individual Prognosis Or Diagnosis (TRIPOD) statement (Moons KGM, 2015).",10.1371/journal.pone.0276515,Adult;Humans;*Triage;Ambulances;*Emergency Medical Services;Allied Health Personnel
2018,"Mohammadi, H.; Ardalan, A.; Bavani, A. M.; Naddafi, K.; Talebian, M. T.",ARTN e57786     10.5812/jhealthscope.57786,Simulation of Climate Change Impact on Emergency Medical Services Clients Caused by Air Pollution,2. Deep Learning,F. Inferential analysis,,Iran,Int J Environ Res Public Health,*COVID-19/diagnosis/epidemiology; *Emergency Medical Services; Covid-19; Disease Outbreaks; emergency medical services; geo-AI; geographic information system; health geomatics; Humans; Machine Learning; Pandemics/prevention & control; resources management; spatial filtering,Carbon footprint analysis,,,2018,5.0,,Health Scope,2251-8959,7.0,2.0,,"Background: Climate change and air pollution are linked. Both of the mare expected to impact human health. Climate can increase health risks from poor air quality and lead to emergencies. Forecasting health consequences of air pollution episodes is a matter of great concern.     Objectives: The current study mainly aimed at simulating the climate change impact on emergency medical services (EMS) clients caused by air pollution to estimate the future trend of EMS clients with cardiovascular and respiratory symptoms by 2050.     Methods: Future climate pattern was projected using general circulation model outputs under the scenario of two representative concentration pathways (RCP2.6 and RCP8.5). Statistical downscaling was performed by LARS weather generator to produce high-resolution synthetic time series weather dataset. Simulation was performed using an artificial neural network (ANN). Observed climate and air pollutant variables were tagged as predictors in ANN, and EMS clients were considered as the target. Projected future (2020 - 2050) climate and air pollution were applied to estimate the future trend of EMS clients.     Results: The climate pattern was predicted to become warmer and wetter in the study area (Tehran, Iran). Annual trend of EMS clients with cardiovascular and respiratory symptoms increases under both RCP scenarios. Further increase is under RCP8.5 for EMS clients with cardiovascular symptoms, and the least increase is under RCP2.6 for those with respiratory symptoms. Annual and monthly trends of EMS clients with cardiovascular and respiratory problems are more sensitive to different groups of climate and air pollution variables.     Conclusions: ANN is an executive tool to simulate the impact of climate change and air pollution on public health to estimate the future trend of related morbidity and forecast short-term cases across the world.",ARTN e57786     10.5812/jhealthscope.57786,climate change;air pollution;emergency medical services;fine particulate matter;neural-network models;ground-level ozone;united-states;surface ozone;prediction;health;optimization;mortality;emission
2014,"Mohammadi, Mohammad; Dashti khotbesara, Zeynab; Mirzazadeh, Abolfazl",10.5267/j.dsl.2014.7.001,MCLP and SQM models for the emergency vehicle districting and location problem,5. Ensemble / Proprietary,A. System level,,Iran,Stud Health Technol Inform,Humans; Emergency Service; Hospital; Machine Learning; *Ambulances; prediction model; ambulance; *Renal Dialysis; Canada; Dialysis,,,,2014,,,Decision Science Letters,19295804     19295812,3.0,4.0,479-490,"Over time, the number of unexpected earthy, oceanic and atmospheric events is rising each year. Hence, disaster management is considered as one of the most important scientific and practical issues in developed and developing countries. Therefore, in this study, we review and develop the problem of locating the emergency units with constraints including the number of available ambulances, limited budget for deployment of ambulances and the minimum acceptable level of covering. The proposed model improves the spatial queuing model (SQM) and Maximal Covering Location Problem (MCLP) by considering the cost of the deployment of the emergency units, which makes it closer to real-world conditions. Because the proposed model is NP-hard, the model is solved using three heuristics including Simulated Annealing (SA), Genetic Algorithm (GA) and a hybrid of both. The preliminary results indicate that the hybrid method had better performance to achieve the optimal or close to optimal solution. © 2014 Growing Science Ltd. All rights reserved.",10.5267/j.dsl.2014.7.001,Genetic Algorithm (GA);Locate the emergency units;Location;Maximal covering location problem (MCLP);Metaheuristics;Simulated Annealing (SA);Spatial queuing model (SQM)
2021,"Monlezun, D. J.; Samura, A. T.; Patel, R. S.; Thannoun, T. E.; Balan, P.",10.1155/2021/3180987,"Racial and Socioeconomic Disparities in Out-Of-Hospital Cardiac Arrest Outcomes: Artificial Intelligence-Augmented Propensity Score and Geospatial Cohort Analysis of 3,952 Patients",2. Deep Learning,F. Inferential analysis,,USA,J Healthc Eng,*Algorithms; *Ambulances; Big Data; Delivery of Health Care; Forecasting; Humans,,,,2021,,,Cardiol Res Pract,2090-8016 (Print)     2090-0597 (Electronic)     2090-0597 (Linking),2021.0,,3180987,"INTRODUCTION: Social disparities in out-of-hospital cardiac arrest (OHCA) outcomes are preventable, costly, and unjust. We sought to perform the first large artificial intelligence- (AI-) guided statistical and geographic information system (GIS) analysis of a multiyear and multisite cohort for OHCA outcomes (incidence and poor neurological disposition). METHOD: We conducted a retrospective cohort analysis of a prospectively collected multicenter dataset of adult patients who sequentially presented to Houston metro area hospitals from 01/01/07-01/01/16. Then AI-based machine learning (backward propagation neural network) augmented multivariable regression and GIS heat mapping were performed. RESULTS: Of 3,952 OHCA patients across 38 hospitals, African Americans were the most likely to suffer OHCA despite representing a significantly lower percentage of the population (42.6 versus 22.8%; p < 0.001). Compared to Caucasians, they were significantly more likely to have poor neurological disposition (OR 2.21, 95%CI 1.25-3.92; p=0.006) and be discharged to a facility instead of home (OR 1.39, 95%CI 1.05-1.85; p=0.023). Compared to the safety net hospital system primarily serving poorer African Americans, the university hospital serving primarily higher income commercially and Medicare insured patients had the lowest odds of death (OR 0.45, p < 0.001). Each additional $10,000 above median household income was associated with a decrease in the total number of cardiac arrests per zip code by 2.86 (95%CI -4.26- -1.46; p < 0.001); zip codes with a median income above $54,600 versus the federal poverty level had 14.62 fewer arrests (p < 0.001). GIS maps showed convergence of the greater density of poor neurologic outcome cases and greater density of poorer African American residences. CONCLUSION: This large, longitudinal AI-guided analysis statistically and geographically identifies racial and socioeconomic disparities in OHCA outcomes in a way that may allow targeted medical and public health coordinated efforts to improve clinical, cost, and social equity outcomes.",10.1155/2021/3180987,adult;African American;Article;artificial intelligence;back propagation neural network;clinical feature;cohort analysis;controlled study;cost benefit analysis;female;geographic information system;highest income group;hospital discharge;household income;human;incidence;longitudinal study;machine learning;major clinical study;male;middle aged;mortality rate;multicenter study;out of hospital cardiac arrest;population structure;poverty;propensity score;prospective study;public health;racial disparity;retrospective study;safety net health care;sample size;socioeconomics;university hospital;urban area
2022,"Moon, H. J.; Shin, Y. J.; Cho, Y. S.",10.1016/j.ajem.2022.09.035,Identification of out-of-hospital cardiac arrest clusters using unsupervised learning,2. Deep Learning,E. Onward prognosis,,South Korea,Advances in Human-Computer Interaction,,OHCA survival prediction,, ,2022,12.0,,Am J Emerg Med,1532-8171 (Electronic)     0735-6757 (Linking),62.0,,41-48,"AIM: Out-of-hospital cardiac arrest (OHCA) is a leading cause of death, and research has identified limitations in analyzing the factors related to the incidence of cardiac arrest and the frequency of bystander cardiopulmonary resuscitation. This study conducts a cluster analysis of the correlation between location-related factors and the outcome of patients with OHCA using two machine learning methods: variational autoencoder (VAE) and the Dirichlet process mixture model (DPMM). METHODS: Using the prospectively collected Smart Advanced Life Support registry in South Korea between August 2015 and December 2018, a secondary retrospective data analysis was performed on patients with OHCA with a presumed cause of cardiac arrest in adults of 18 years or older. VAE and DPMM were used to create clusters to determine groups with a common nature among those with OHCA. RESULTS: Among 5876 OHCA cases, 1510 patients were enrolled in the final analysis. Decision tree-based models, which have an accuracy of 95.36%, were also used to interpret the characteristics of clusters. A total of 8 clusters that had similar spatial characteristics were identified using DPMM and VAE. Among the generated clusters, the averages of the four clusters that exhibited a high survival to discharge rate and a favorable neurological outcome were 9.6% and 6.1%, and the averages of the four clusters that exhibited a low outcome were 5.1% and 3.5% respectively. In the decision tree-based models, the most important feature that could affect the prognosis of an OHCA patient was being transferred to a higher-level emergency center. CONCLUSION: This methodology can facilitate the development of a regionalization strategy that can improve the survival rate of cardiac arrest patients in different regions.",10.1016/j.ajem.2022.09.035,Adult;Humans;*Out-of-Hospital Cardiac Arrest/etiology;Retrospective Studies;Unsupervised Machine Learning;*Emergency Medical Services;*Cardiopulmonary Resuscitation/methods;Registries;Artificial intelligence;Emergency medical services;Out-of-hospital cardiac arrest
2022,"Nadar, R. A.; Jha, J. K.; Thakkar, J. J.",10.1051/ro/2022140,Ambulance location under temporal variation in demand using a mixed coded memetic algorithm,3. Evolutionary,A. System level,,India,PLoS One,*Drug Overdose/diagnosis/epidemiology/drug therapy; *Emergency Medical Services/methods; *Opiate Overdose; Analgesics; Bayes Theorem; Humans; Machine Learning; Opioid/therapeutic use,Optimise station location,,,2022,8.0,30.0,Rairo-Operations Research,0399-0559,56.0,4.0,2967-2997,Emergency medical services (EMS) are among the most important services in any society due to their role in saving people's lives and reducing morbidities. The location of ambulance stations and the allocation of ambulances to the stations is an important planning problem for any EMS system to ensure adequate coverage while minimising the response time. This study considers a mixed-integer programming model that determines the ambulance locations by considering the time of day variations in demand. The presented model also considers heterogeneous performance measures based on survival function and coverage for different patient types with varying levels of urgency. A memetic algorithm based-approach that applies a mixed chromosome representation for solutions is proposed to solve the problem. Our computational results indicate that neglecting time-dependent variation of demand can underestimate the number of ambulances required by up to 15% during peak demand. We also demonstrate the effectiveness of the proposed solution approach in providing good quality solutions within a reasonable time.,10.1051/ro/2022140,emergency medical service planning;ambulance planning;location-allocation;memetic algorithm;operations research in health services;genetic algorithm;model;time;allocation;optimization;deployment;vehicles;search
